COURSECODE,COURSETITLE,DELIVERY,CLASSNUM,STATUS,DURATION,STUMAX,PRICE,CATEGORY,SUBCATEGORY
B5161,IBM Cognos Report Studio: Author Reports with Multidimensional Data (V10.1),CLASSROOM,M3X8,Available           ,2,8,1400,Cognos,BI - Cognos BI (version 10.1)
B5252,IBM Cognos Framework Manager: Design Metadata Models (V10.2),CLASSROOM,M30P,Available           ,5,8,3500,Cognos,BI - Cognos BI (version 10.2)
B5260,IBM Cognos Report Studio: Author Professional Reports (V10.2),CLASSROOM,M30H,Available           ,5,8,3500,Cognos,BI - Cognos BI (version 10.2)
BQ100,IBM Security QRadar SIEM 7.1 Foundations,CLASSROOM,MZ30,Available           ,2,8,1500,Security Systems,Security Intelligence
BQ100,IBM Security QRadar SIEM 7.1 Foundations,CLASSROOM,MZ29,Available           ,2,8,1500,Security Systems,Security Intelligence
CL213,DB2 10 for LUW: Basic Administration for AIX,CLASSROOM,MZ31,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
CL213,DB2 10 for LUW: Basic Administration for AIX,CLASSROOM,MZ32,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
CL2X3,DB2 10 for LUW: Basic Administration for Linux and Windows,CLASSROOM,MZ33,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
CL2X3,DB2 10 for LUW: Basic Administration for Linux and Windows,CLASSROOM,MZ34,Available           ,4,8,2680,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
CL443,DB2 LUW Performance Tuning/Monitoring for Single/Multiple Partition DBs,CLASSROOM,M3Z2,Available           ,5,8,3350,"Data Management for Linux, UNIX, and Windows","DB2 for Linux, UNIX, and Windows"
D8L75,IBM Lotus Domino 8.5 System Administration Fundamentals,CLASSROOM,M01E,Available           ,1,10,600,Lotus,IBM Notes and Domino 8.5
D8L75,IBM Lotus Domino 8.5 System Administration Fundamentals,CLASSROOM,M02J,Available           ,1,10,600,Lotus,IBM Notes and Domino 8.5
D8L89,IBM Lotus Domino 8.5 System Administration Bootcamp,CLASSROOM,M01H,Available           ,5,10,3000,Lotus,IBM Notes and Domino 8.5
D8L89,IBM Lotus Domino 8.5 System Administration Bootcamp,CLASSROOM,M02M,Available           ,5,10,3000,Lotus,IBM Notes and Domino 8.5
ES240,IBM System z Hardware Management Console (HMC) Operations,CLASSROOM,MY97,Available           ,2,8,1815,"IBM System z (z/OS, z/VM, Linux)",z/OS Operations
ES240,IBM System z Hardware Management Console (HMC) Operations,CLASSROOM,MY98,Available           ,2,8,1815,"IBM System z (z/OS, z/VM, Linux)",z/OS Operations
F1767,IBM Datacap Taskmaster Capture 8.0.1: Implementation and Configuration (ILO),CLASSROOM,NJ50,Available           ,5,12,3750,Enterprise Content Management,Datacap Taskmaster
I5160,IBM Cognos Report Studio: Author Professional Reports (V10.1) - ILO,CLASSROOM,M505,Closed              ,5,16,3500,Cognos,BI - Cognos BI (version 10.1)
KM502,IBM InfoSphere Information Server Administration 9.1,CLASSROOM,M3X3,Available           ,4,8,3400,Information Integration,InfoSphere Information Server
NGT11,IBM PureFlex System Fundamentals,CLASSROOM,K691,Available           ,3,2,1995,IBM System x,Technical
NGT11,IBM PureFlex System Fundamentals,CLASSROOM,K692,Available           ,3,2,1995,IBM System x,Technical
NGTB1,IBM PureFlex Systems Fundamentals with Implementation Services,CLASSROOM,LS85,Full                ,5,4,3250,IBM System x,Technical
NGTB1,IBM PureFlex Systems Fundamentals with Implementation Services,CLASSROOM,LS87,Available           ,5,4,3250,IBM System x,Technical
NGTB2,IBM PureFlex Systems Implementation Services,CLASSROOM,LS86,Full                ,2,2,1475,IBM System x,Technical
NGTB2,IBM PureFlex Systems Implementation Services,CLASSROOM,LS89,Full                ,2,2,1475,IBM System x,Technical
OL190,IBM i Administration and Control,CLASSROOM,M27L,Available           ,4.5,8,3665,IBM System i,System Administration for System i
P8101,IBM Cognos Planning Analyst: Build Models (V10.1),CLASSROOM,M3W7,Available           ,5,8,3500,Cognos,PM - Cognos Planning (version 10.1)
P8152,IBM Cognos TM1: Design and Develop Models (V10.1),CLASSROOM,M572,Closed              ,5,16,3500,Cognos,PM - Cognos TM1 (version 10.1)
SNV10,SAN Volume Controller (SVC) V6 Planning and Implementation Workshop,CLASSROOM,MZ35,Available           ,4,8,3315,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
SNV10,SAN Volume Controller (SVC) V6 Planning and Implementation Workshop,CLASSROOM,MZ36,Available           ,4,8,3315,IBM Storage and Storage Networking,Storage Networking and Storage Virtualization
SS291,IBM TS7650 ProtecTIER,CLASSROOM,N30O,Available           ,2,12,1950,IBM Storage and Storage Networking,Related Storage Courses
SSE10,IBM Storwize V7000 Implementation Workshop,CLASSROOM,M3S0,Available           ,4,8,3550,IBM Storage and Storage Networking,Storage
TN023,IBM Tivoli Netcool/OMNIbus 7.3 Installation and Configuration,CLASSROOM,M29D,Available           ,3,8,1800,Tivoli Network Service Assurance,Netcool/OMNIbus
TN323,IBM Tivoli Network Manager 3.9 Operation and Administration,CLASSROOM,M3G9,Available           ,5,8,3000,Tivoli Network Service Assurance,Network Manager
TS612,IBM Tivoli Storage Manager 6.3 Implementation and Administration,CLASSROOM,M271,Available           ,5,8,3250,Tivoli Storage Management,Storage Manager
TS622,"IBM Tivoli Storage Manager 6.3 Advanced Administration, Tuning, Troubleshooting",CLASSROOM,MZ38,Available           ,5,8,3750,Tivoli Storage Management,Storage Manager
TS622,"IBM Tivoli Storage Manager 6.3 Advanced Administration, Tuning, Troubleshooting",CLASSROOM,MZ37,Available           ,5,8,3750,Tivoli Storage Management,Storage Manager
TSX12,IBM Tivoli Storage Manager 6.3 Implementation and Administration (AIX),CLASSROOM,M33D,Available           ,5,8,3250,Tivoli Storage Management,Storage Manager
TSX22,IBM Tivoli Storage Manager 6.3 Advanced Administration for AIX,CLASSROOM,MZ40,Available           ,5,8,3750,Tivoli Storage Management,Storage Manager
TSX22,IBM Tivoli Storage Manager 6.3 Advanced Administration for AIX,CLASSROOM,MZ39,Available           ,5,8,3750,Tivoli Storage Management,Storage Manager
TW103,IBM Tivoli Access Manager for e-business 6.1.1 Administration and Deployment,CLASSROOM,M3B1,Available           ,4,8,3000,Security Systems,Identity and Access Management
WA585,WebSphere Application Server V8.5 Administration,CLASSROOM,M90N,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WA585,WebSphere Application Server V8.5 Administration,CLASSROOM,M90M,Available           ,5,8,3625,WebSphere Application Server,Administration for distributed systems
WB743,Modeling and Implementing with IBM Business Process Manager V7.5.1,CLASSROOM,M3T2,Available           ,5,8,3875,Business Process Management,IBM Business Process Manager Express and Standard
WB802,Modeling and Implementing with IBM Business Process Manager V8,CLASSROOM,M28D,Available           ,5,8,3875,Business Process Management,IBM Business Process Manager Express and Standard
WE400,"Accelerate, Secure and Integrate with IBM DataPower V4.0.1",CLASSROOM,M336,Available           ,5,8,3875,Service-oriented architecture (SOA),WebSphere DataPower SOA Appliances
WM202,IBM WebSphere MQ V7 System Administration (AIX labs),CLASSROOM,M3E5,Available           ,4,8,2400,Application Integration,WebSphere MQ
WM211,IBM WebSphere MQ V7.5 Advanced System Administration (Distributed),CLASSROOM,M3S5,Available           ,4,8,2900,Application Integration,WebSphere MQ
WM664,IBM WebSphere Message Broker V8 Application Development I,CLASSROOM,MZ41,Available           ,5,8,3625,Application Integration,WebSphere Message Broker
WM664,IBM WebSphere Message Broker V8 Application Development I,CLASSROOM,MZ42,Available           ,5,10,3625,Application Integration,WebSphere Message Broker
